route_state,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,tag_k_lat_deg_per_cm,tag_k_yaw,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,0,1,,,0,0,,,1.000,0.250,0.034,1,1,1,0,0.011,1.169,0.00365,0.022,0.022,321.169,204.714,209.050,0.001,0.032,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,2,,,0,0,,,1.000,0.250,2.576,2,1,1,0,0.011,1.164,0.00364,0.020,0.020,321.164,204.707,209.056,0.001,2.574,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,3,,,0,0,,,1.000,0.250,2.616,3,1,1,0,0.011,1.175,0.00367,0.025,0.025,321.175,204.743,209.047,0.001,2.614,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,4,,,0,0,,,1.000,0.250,2.684,4,1,1,0,0.011,1.192,0.00373,0.020,0.020,321.192,204.746,209.041,0.001,2.682,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,5,,,0,0,,,1.000,0.250,2.749,5,1,1,0,0.011,1.170,0.00366,0.020,0.020,321.170,204.715,209.067,0.001,2.747,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,6,,,0,0,,,1.000,0.250,2.784,6,1,1,0,0.011,1.165,0.00364,0.019,0.019,321.165,204.755,209.055,0.001,2.783,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,,,0,0,,,1.000,0.250,2.984,9,1,1,0,0.011,1.161,0.00363,0.016,0.016,321.161,204.744,209.064,0.001,2.982,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,2,,,0,0,,,1.000,0.250,3.052,10,1,1,0,0.011,1.167,0.00365,0.016,0.016,321.167,204.749,209.077,0.001,3.050,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,3,,,0,0,,,1.000,0.250,3.120,11,1,1,0,0.011,1.183,0.00370,0.018,0.018,321.183,204.746,209.047,0.001,3.118,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,4,,,0,0,,,1.000,0.250,3.188,12,1,1,0,0.011,1.164,0.00364,0.011,0.011,321.164,204.745,209.060,0.001,3.186,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,5,,,0,0,,,1.000,0.250,3.252,13,1,1,0,0.011,1.164,0.00364,0.021,0.021,321.164,204.769,209.067,0.001,3.250,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,6,,,0,0,,,1.000,0.250,3.320,14,1,1,0,0.011,1.173,0.00366,0.020,0.020,321.173,204.756,209.064,0.001,3.318,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,,,0,0,,,1.000,0.250,3.456,16,1,1,0,0.011,1.178,0.00368,0.019,0.019,321.178,204.742,209.055,0.001,3.454,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,,,0,0,,,1.000,0.250,3.624,19,1,1,0,0.011,1.168,0.00365,0.013,0.013,321.168,204.761,209.074,0.001,3.622,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,2,,,0,0,,,1.000,0.250,3.688,20,1,1,0,0.011,1.168,0.00365,0.013,0.013,321.168,204.750,209.073,0.001,3.686,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,,,0,0,,,1.000,0.250,3.892,23,1,1,0,0.011,1.172,0.00366,0.022,0.022,321.172,204.733,209.056,0.001,3.890,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,2,,,0,0,,,1.000,0.250,3.960,24,1,1,0,0.011,1.190,0.00372,0.020,0.020,321.190,204.757,209.059,0.001,3.958,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,3,,,0,0,,,1.000,0.250,4.024,25,1,1,0,0.011,1.184,0.00370,0.015,0.015,321.184,204.750,209.046,0.001,4.022,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,,,0,0,,,1.000,0.250,4.160,27,1,1,0,0.011,1.186,0.00370,0.012,0.012,321.186,204.778,209.044,0.001,4.158,STOPPED,,EVT:READY,,,,,,EVT:READY
