route_state,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_yaw,pending_turn_tag_id,pending_turn_command,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,0,1,,,0,0,,,1.500,1.477,1,-2.421,22.712,1.000,0.250,,,0.033,1,1,1,0,-0.023,-2.421,-0.00757,0.249,0.249,317.579,262.712,210.571,0.001,0.032,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,2,,,0,0,,,1.500,1.477,1,-2.406,22.680,1.000,0.250,,,2.679,2,1,1,0,-0.023,-2.406,-0.00752,0.238,0.238,317.594,262.680,210.578,0.001,2.679,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,3,,,0,0,,,1.500,1.477,1,-2.416,22.699,1.000,0.250,,,2.721,3,1,1,0,-0.023,-2.416,-0.00755,0.235,0.235,317.584,262.699,210.545,0.001,2.720,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,4,,,0,0,,,1.500,1.477,1,-2.424,22.698,1.000,0.250,,,2.785,4,1,1,0,-0.023,-2.424,-0.00757,0.237,0.237,317.576,262.698,210.572,0.001,2.784,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,5,,,0,0,,,1.500,1.477,1,-2.389,22.721,1.000,0.250,,,2.855,5,1,1,0,-0.023,-2.389,-0.00747,0.239,0.239,317.611,262.721,210.565,0.001,2.854,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,6,,,0,0,,,1.500,1.477,1,-2.395,22.704,1.000,0.250,,,2.921,6,1,1,0,-0.023,-2.395,-0.00748,0.250,0.250,317.605,262.704,210.569,0.001,2.920,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,7,,,0,0,,,1.500,1.478,1,-2.364,22.707,1.000,0.250,,,2.988,7,1,1,0,-0.022,-2.364,-0.00739,0.234,0.234,317.636,262.707,210.551,0.001,2.987,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,8,,,0,0,,,1.500,1.477,1,-2.400,22.726,1.000,0.250,,,3.056,8,1,1,0,-0.023,-2.400,-0.00750,0.231,0.231,317.600,262.726,210.568,0.001,3.056,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,9,,,0,0,,,1.500,1.477,1,-2.401,22.713,1.000,0.250,,,3.120,9,1,1,0,-0.023,-2.401,-0.00750,0.231,0.231,317.599,262.713,210.574,0.001,3.120,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,10,,,0,0,,,1.500,1.477,1,-2.416,22.686,1.000,0.250,,,3.188,10,1,1,0,-0.023,-2.416,-0.00755,0.232,0.232,317.584,262.686,210.559,0.001,3.188,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,11,,,0,0,,,1.500,1.477,1,-2.425,22.696,1.000,0.250,,,3.256,11,1,1,0,-0.023,-2.425,-0.00758,0.243,0.243,317.575,262.696,210.556,0.001,3.255,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,12,,,0,0,,,1.500,1.477,1,-2.383,22.710,1.000,0.250,,,3.324,12,1,1,0,-0.023,-2.383,-0.00745,0.242,0.242,317.617,262.710,210.562,0.001,3.323,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,13,,,0,0,,,1.500,1.477,1,-2.383,22.708,1.000,0.250,,,3.388,13,1,1,0,-0.023,-2.383,-0.00745,0.239,0.239,317.617,262.708,210.558,0.001,3.387,STOPPED,,EVT:READY,,,,,,EVT:READY
