route_state,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.346,46.573,-1.000,0.020,0.000,,,0.192,2,1,1,3,-0.022,-2.346,-0.00733,0.824,0.824,317.654,286.573,208.810,0.001,0.191,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.329,46.599,-1.000,0.020,0.000,,,0.239,3,1,1,3,-0.022,-2.329,-0.00728,0.824,0.824,317.671,286.599,208.792,0.001,0.238,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.311,46.581,-1.000,0.020,0.000,,,0.303,4,1,1,3,-0.022,-2.311,-0.00722,0.823,0.823,317.689,286.581,208.822,0.001,0.302,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,4,,,0,0,,,0.000,-0.022,1,-2.303,46.585,-1.000,0.020,0.000,,,0.373,5,1,1,3,-0.022,-2.303,-0.00720,0.818,0.818,317.697,286.585,208.846,0.001,0.372,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,5,,,0,0,,,0.000,-0.022,1,-2.299,46.595,-1.000,0.020,0.000,,,0.439,6,1,1,3,-0.022,-2.299,-0.00719,0.820,0.820,317.701,286.595,208.828,0.001,0.438,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,6,,,0,0,,,0.000,-0.022,1,-2.320,46.585,-1.000,0.020,0.000,,,0.507,7,1,1,3,-0.022,-2.320,-0.00725,0.824,0.824,317.680,286.585,208.839,0.001,0.506,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.305,46.585,-1.000,0.020,0.000,,,0.707,10,1,1,3,-0.022,-2.305,-0.00720,0.825,0.825,317.695,286.585,208.819,0.001,0.706,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.309,46.599,-1.000,0.020,0.000,,,0.775,11,1,1,3,-0.022,-2.309,-0.00721,0.822,0.822,317.691,286.599,208.842,0.001,0.774,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,1,,,0,0,,,0.000,-0.022,1,-2.330,46.585,-1.000,0.020,0.000,,,0.975,14,1,1,3,-0.022,-2.330,-0.00728,0.822,0.822,317.670,286.585,208.811,0.001,0.974,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,2,,,0,0,,,0.000,-0.022,1,-2.329,46.608,-1.000,0.020,0.000,,,1.043,15,1,1,3,-0.022,-2.329,-0.00728,0.830,0.830,317.671,286.608,208.820,0.001,1.042,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,3,,,0,0,,,0.000,-0.022,1,-2.317,46.601,-1.000,0.020,0.000,,,1.111,16,1,1,3,-0.022,-2.317,-0.00724,0.827,0.827,317.683,286.601,208.800,0.001,1.110,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,3,4,,,0,0,,,0.000,-0.022,1,-2.312,46.594,-1.000,0.020,0.000,,,1.179,17,1,1,3,-0.022,-2.312,-0.00723,0.819,0.819,317.688,286.594,208.803,0.001,1.178,STOPPED,,EVT:READY,,,,,,EVT:READY
