route_state,route_active,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,0,1,1,,,0,0,,,0.000,0.101,1,10.836,-32.892,-1.000,0.020,0.000,,,0.004,1,1,1,1,0.101,10.836,0.03386,-0.258,-0.258,330.836,207.108,215.060,0.001,0.003,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,2,,,0,0,,,0.000,0.101,1,10.869,-32.883,-1.000,0.020,0.000,,,0.157,2,1,1,1,0.101,10.869,0.03397,-0.250,-0.250,330.869,207.117,215.066,0.001,0.156,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,3,,,0,0,,,0.000,0.101,1,10.841,-32.971,-1.000,0.020,0.000,,,0.203,3,1,1,1,0.101,10.841,0.03388,-0.254,-0.254,330.841,207.029,215.035,0.001,0.202,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,4,,,0,0,,,0.000,0.101,1,10.830,-32.926,-1.000,0.020,0.000,,,0.271,4,1,1,1,0.101,10.830,0.03384,-0.256,-0.256,330.830,207.074,215.079,0.001,0.270,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,5,,,0,0,,,0.000,0.101,1,10.863,-32.910,-1.000,0.020,0.000,,,0.339,5,1,1,1,0.101,10.863,0.03395,-0.252,-0.252,330.863,207.090,215.087,0.001,0.338,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,6,,,0,0,,,0.000,0.101,1,10.845,-32.905,-1.000,0.020,0.000,,,0.408,6,1,1,1,0.101,10.845,0.03389,-0.254,-0.254,330.845,207.095,215.079,0.001,0.407,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,7,,,0,0,,,0.000,0.101,1,10.854,-32.943,-1.000,0.020,0.000,,,0.472,7,1,1,1,0.101,10.854,0.03392,-0.253,-0.253,330.854,207.057,215.073,0.001,0.471,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,8,,,0,0,,,0.000,0.101,1,10.840,-32.942,-1.000,0.020,0.000,,,0.540,8,1,1,1,0.101,10.840,0.03387,-0.254,-0.254,330.840,207.058,215.111,0.001,0.539,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,9,,,0,0,,,0.000,0.101,1,10.872,-32.958,-1.000,0.020,0.000,,,0.607,9,1,1,1,0.101,10.872,0.03398,-0.253,-0.253,330.872,207.042,215.078,0.001,0.606,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,10,,,0,0,,,0.000,0.101,1,10.819,-32.942,-1.000,0.020,0.000,,,0.675,10,1,1,1,0.101,10.819,0.03381,-0.256,-0.256,330.819,207.058,215.076,0.001,0.674,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,11,,,0,0,,,0.000,0.101,1,10.822,-32.992,-1.000,0.020,0.000,,,0.739,11,1,1,1,0.101,10.822,0.03382,-0.247,-0.247,330.822,207.008,215.033,0.001,0.738,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,12,,,0,0,,,0.000,0.101,1,10.856,-32.907,-1.000,0.020,0.000,,,0.775,12,1,1,1,0.101,10.856,0.03393,-0.254,-0.254,330.856,207.093,215.119,0.001,0.774,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,13,,,0,0,,,0.000,0.101,1,10.855,-32.927,-1.000,0.020,0.000,,,0.843,13,1,1,1,0.101,10.855,0.03392,-0.260,-0.260,330.855,207.073,215.087,0.001,0.842,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,14,,,0,0,,,0.000,0.101,1,10.840,-32.961,-1.000,0.020,0.000,,,0.907,14,1,1,1,0.101,10.840,0.03387,-0.253,-0.253,330.840,207.039,215.034,0.001,0.906,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,15,,,0,0,,,0.000,0.101,1,10.866,-32.926,-1.000,0.020,0.000,,,0.975,15,1,1,1,0.101,10.866,0.03396,-0.263,-0.263,330.866,207.074,215.081,0.001,0.974,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,16,,,0,0,,,0.000,0.101,1,10.836,-32.946,-1.000,0.020,0.000,,,1.043,16,1,1,1,0.101,10.836,0.03386,-0.252,-0.252,330.836,207.054,215.060,0.001,1.042,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,17,,,0,0,,,0.000,0.101,1,10.857,-32.943,-1.000,0.020,0.000,,,1.111,17,1,1,1,0.101,10.857,0.03393,-0.255,-0.255,330.857,207.057,215.072,0.001,1.110,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,18,,,0,0,,,0.000,0.101,1,10.852,-32.941,-1.000,0.020,0.000,,,1.179,18,1,1,1,0.101,10.852,0.03391,-0.255,-0.255,330.852,207.059,215.073,0.001,1.178,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,19,,,0,0,,,0.000,0.101,1,10.817,-32.964,-1.000,0.020,0.000,,,1.243,19,1,1,1,0.101,10.817,0.03380,-0.260,-0.260,330.817,207.036,215.052,0.001,1.242,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,20,,,0,0,,,0.000,0.101,1,10.825,-33.004,-1.000,0.020,0.000,,,1.311,20,1,1,1,0.101,10.825,0.03383,-0.267,-0.267,330.825,206.996,215.052,0.001,1.310,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,21,,,0,0,,,0.000,0.101,1,10.858,-32.925,-1.000,0.020,0.000,,,1.379,21,1,1,1,0.101,10.858,0.03393,-0.259,-0.259,330.858,207.075,215.123,0.001,1.378,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,22,,,0,0,,,0.000,0.101,1,10.810,-32.996,-1.000,0.020,0.000,,,1.447,22,1,1,1,0.101,10.810,0.03378,-0.265,-0.265,330.810,207.004,215.043,0.001,1.446,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,23,,,0,0,,,0.000,0.101,1,10.849,-32.977,-1.000,0.020,0.000,,,1.515,23,1,1,1,0.101,10.849,0.03390,-0.267,-0.267,330.849,207.023,215.088,0.001,1.514,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,24,,,0,0,,,0.000,0.101,1,10.858,-32.951,-1.000,0.020,0.000,,,1.579,24,1,1,1,0.101,10.858,0.03393,-0.262,-0.262,330.858,207.049,215.109,0.001,1.578,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,25,,,0,0,,,0.000,0.101,1,10.846,-32.951,-1.000,0.020,0.000,,,1.647,25,1,1,1,0.101,10.846,0.03389,-0.258,-0.258,330.846,207.049,215.127,0.001,1.646,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,26,,,0,0,,,0.000,0.101,1,10.857,-32.958,-1.000,0.020,0.000,,,1.715,26,1,1,1,0.101,10.857,0.03393,-0.265,-0.265,330.857,207.042,215.093,0.001,1.714,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,27,,,0,0,,,0.000,0.101,1,10.849,-32.960,-1.000,0.020,0.000,,,1.783,27,1,1,1,0.101,10.849,0.03390,-0.270,-0.270,330.849,207.040,215.082,0.001,1.782,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,28,,,0,0,,,0.000,0.101,1,10.837,-32.938,-1.000,0.020,0.000,,,1.847,28,1,1,1,0.101,10.837,0.03386,-0.261,-0.261,330.837,207.062,215.085,0.001,1.846,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,29,,,0,0,,,0.000,0.101,1,10.843,-32.931,-1.000,0.020,0.000,,,1.915,29,1,1,1,0.101,10.843,0.03388,-0.258,-0.258,330.843,207.069,215.120,0.001,1.914,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,30,,,0,0,,,0.000,0.101,1,10.884,-32.947,-1.000,0.020,0.000,,,1.985,30,1,1,1,0.101,10.884,0.03401,-0.269,-0.269,330.884,207.053,215.123,0.001,1.985,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,31,,,0,0,,,0.000,0.101,1,10.860,-32.955,-1.000,0.020,0.000,,,2.051,31,1,1,1,0.101,10.860,0.03394,-0.266,-0.266,330.860,207.045,215.110,0.001,2.051,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,32,,,0,0,,,0.000,0.101,1,10.847,-32.960,-1.000,0.020,0.000,,,2.119,32,1,1,1,0.101,10.847,0.03390,-0.267,-0.267,330.847,207.040,215.107,0.001,2.118,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,33,,,0,0,,,0.000,0.101,1,10.844,-32.945,-1.000,0.020,0.000,,,2.183,33,1,1,1,0.101,10.844,0.03389,-0.270,-0.270,330.844,207.055,215.129,0.001,2.182,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,34,,,0,0,,,0.000,0.101,1,10.829,-32.954,-1.000,0.020,0.000,,,2.251,34,1,1,1,0.101,10.829,0.03384,-0.262,-0.262,330.829,207.046,215.070,0.001,2.250,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,35,,,0,0,,,0.000,0.101,1,10.816,-33.042,-1.000,0.020,0.000,,,2.319,35,1,1,1,0.101,10.816,0.03380,-0.268,-0.268,330.816,206.958,215.025,0.001,2.318,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,36,,,0,0,,,0.000,0.101,1,10.838,-32.975,-1.000,0.020,0.000,,,2.387,36,1,1,1,0.101,10.838,0.03387,-0.260,-0.260,330.838,207.025,215.067,0.001,2.386,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,37,,,0,0,,,0.000,0.101,1,10.833,-32.989,-1.000,0.020,0.000,,,2.451,37,1,1,1,0.101,10.833,0.03385,-0.268,-0.268,330.833,207.011,215.038,0.001,2.451,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,38,,,0,0,,,0.000,0.101,1,10.832,-32.976,-1.000,0.020,0.000,,,2.487,38,1,1,1,0.101,10.832,0.03385,-0.270,-0.270,330.832,207.024,215.061,0.001,2.487,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,39,,,0,0,,,0.000,0.101,1,10.882,-32.986,-1.000,0.020,0.000,,,2.555,39,1,1,1,0.101,10.882,0.03401,-0.266,-0.266,330.882,207.014,215.107,0.001,2.554,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,40,,,0,0,,,0.000,0.101,1,10.839,-32.960,-1.000,0.020,0.000,,,2.619,40,1,1,1,0.101,10.839,0.03387,-0.264,-0.264,330.839,207.040,215.163,0.001,2.618,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,41,,,0,0,,,0.000,0.101,1,10.837,-32.979,-1.000,0.020,0.000,,,2.687,41,1,1,1,0.101,10.837,0.03386,-0.268,-0.268,330.837,207.021,215.083,0.001,2.687,STOPPED,,EVT:READY,,,,,,EVT:READY
