route_state,route_active,stable_tag_id,stable_count,route_action,handled_turn_tags,tag_corr_active,tag_corr_sent,tag_corr_raw_deg,tag_corr_cmd_deg,camera_x_offset_cm,agv_center_deviation_cm,tag_in_gate,tag_gate_dx_px,tag_gate_dy_px,tag_k_lat_deg_per_cm,tag_k_px_deg_per_px,tag_k_yaw,pending_turn_tag_id,pending_turn_command,turn_centered,turn_center_tolerance_px,turn_center_y_tolerance_px,turn_align_step_cm,turn_align_timeout_sec,move_rpm_command,pre_turn_slowdown_active,next_turn_tag_id,time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
IDLE,0,1,1,,,0,0,,,0.000,0.068,1,7.354,2.465,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.038,1,1,1,1,0.068,7.354,0.02298,-0.034,-0.034,327.354,242.465,216.722,0.001,0.037,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,2,,,0,0,,,0.000,0.067,1,7.259,2.360,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.174,2,1,1,1,0.067,7.259,0.02269,-0.021,-0.021,327.259,242.360,216.639,0.001,0.173,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,3,,,0,0,,,0.000,0.067,1,7.275,2.435,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.241,3,1,1,1,0.067,7.275,0.02273,-0.014,-0.014,327.275,242.435,216.706,0.001,0.240,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,4,,,0,0,,,0.000,0.067,1,7.276,2.365,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.305,4,1,1,1,0.067,7.276,0.02274,0.002,0.002,327.276,242.365,216.665,0.001,0.304,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,5,,,0,0,,,0.000,0.068,1,7.313,2.306,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.373,5,1,1,1,0.068,7.313,0.02285,-0.005,-0.005,327.313,242.306,216.571,0.001,0.372,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,6,,,0,0,,,0.000,0.067,1,7.267,2.398,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.441,6,1,1,1,0.067,7.267,0.02271,-0.055,-0.055,327.267,242.398,216.670,0.001,0.440,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,7,,,0,0,,,0.000,0.068,1,7.319,2.357,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.509,7,1,1,1,0.068,7.319,0.02287,-0.009,-0.009,327.319,242.357,216.624,0.001,0.508,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,8,,,0,0,,,0.000,0.067,1,7.305,2.476,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.577,8,1,1,1,0.067,7.305,0.02283,-0.028,-0.028,327.305,242.476,216.707,0.001,0.576,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,9,,,0,0,,,0.000,0.068,1,7.326,2.481,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.641,9,1,1,1,0.068,7.326,0.02290,-0.007,-0.007,327.326,242.481,216.712,0.001,0.640,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,10,,,0,0,,,0.000,0.067,1,7.299,2.360,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.709,10,1,1,1,0.067,7.299,0.02281,-0.015,-0.015,327.299,242.360,216.616,0.001,0.708,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,11,,,0,0,,,0.000,0.068,1,7.349,2.485,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.777,11,1,1,1,0.068,7.349,0.02297,-0.010,-0.010,327.349,242.485,216.742,0.001,0.776,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,12,,,0,0,,,0.000,0.068,1,7.341,2.488,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.845,12,1,1,1,0.068,7.341,0.02294,-0.018,-0.018,327.341,242.488,216.721,0.001,0.844,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,13,,,0,0,,,0.000,0.068,1,7.322,2.382,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.909,13,1,1,1,0.068,7.322,0.02288,0.003,0.003,327.322,242.382,216.646,0.001,0.908,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,14,,,0,0,,,0.000,0.068,1,7.352,2.461,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,0.977,14,1,1,1,0.068,7.352,0.02298,0.010,0.010,327.352,242.461,216.702,0.001,0.976,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,15,,,0,0,,,0.000,0.068,1,7.335,2.474,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.045,15,1,1,1,0.068,7.335,0.02292,0.001,0.001,327.335,242.474,216.694,0.001,1.044,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,16,,,0,0,,,0.000,0.067,1,7.262,2.384,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.113,16,1,1,1,0.067,7.262,0.02269,-0.011,-0.011,327.262,242.384,216.629,0.001,1.112,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,17,,,0,0,,,0.000,0.068,1,7.334,2.435,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.181,17,1,1,1,0.068,7.334,0.02292,-0.013,-0.013,327.334,242.435,216.687,0.001,1.180,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,18,,,0,0,,,0.000,0.068,1,7.336,2.460,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.245,18,1,1,1,0.068,7.336,0.02292,-0.009,-0.009,327.336,242.460,216.706,0.001,1.244,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,19,,,0,0,,,0.000,0.068,1,7.316,2.505,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.313,19,1,1,1,0.068,7.316,0.02286,-0.002,-0.002,327.316,242.505,216.704,0.001,1.312,STOPPED,,EVT:READY,,,,,,EVT:READY
IDLE,0,1,20,,,0,0,,,0.000,0.067,1,7.262,2.416,-1.000,-0.020,0.000,,,1,15.000,25.000,1.000,8.000,,0,,1.381,20,1,1,1,0.067,7.262,0.02269,-0.025,-0.025,327.262,242.416,216.666,0.001,1.380,STOPPED,,EVT:READY,,,,,,EVT:READY
