time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
1.796,1,1,1,1,-0.268,-28.733,-0.08979,179.213,291.267,188.094,321.845,0.001,1.795,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.932,2,1,1,1,-0.268,-28.735,-0.08980,179.207,291.265,188.085,321.931,0.001,1.931,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.944,3,1,1,1,-0.268,-28.760,-0.08987,179.205,291.240,188.071,321.869,0.001,1.943,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.963,4,1,1,1,-0.268,-28.741,-0.08982,179.205,291.259,188.094,321.853,0.001,1.962,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.979,5,1,1,1,-0.268,-28.745,-0.08983,179.209,291.255,188.105,321.862,0.001,1.978,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.995,6,1,1,1,-0.268,-28.758,-0.08987,179.206,291.242,188.071,321.860,0.001,1.994,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.031,7,1,1,1,-0.268,-28.743,-0.08982,179.205,291.257,188.067,321.890,0.001,2.030,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.063,8,1,1,1,-0.268,-28.719,-0.08975,179.213,291.281,188.103,321.860,0.001,2.062,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.095,9,1,1,1,-0.268,-28.733,-0.08979,179.212,291.267,188.073,321.894,0.001,2.094,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.131,10,1,1,1,-0.268,-28.728,-0.08977,179.219,291.272,188.090,321.858,0.001,2.130,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.166,11,1,1,1,-0.268,-28.754,-0.08986,179.203,291.246,188.055,321.861,0.001,2.165,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.199,12,1,1,1,-0.268,-28.733,-0.08979,179.210,291.267,188.060,321.865,0.001,2.198,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.231,13,1,1,1,-0.268,-28.747,-0.08983,179.209,291.253,188.049,321.834,0.001,2.230,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.263,14,1,1,1,-0.268,-28.746,-0.08983,179.206,291.254,188.068,321.891,0.001,2.262,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.299,15,1,1,1,-0.268,-28.764,-0.08989,179.205,291.236,188.048,321.859,0.001,2.298,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.331,16,1,1,1,-0.268,-28.744,-0.08983,179.205,291.256,188.051,321.841,0.001,2.330,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.367,17,1,1,1,-0.268,-28.756,-0.08986,179.207,291.244,188.037,321.883,0.001,2.366,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.399,18,1,1,1,-0.268,-28.736,-0.08980,179.206,291.264,188.062,321.861,0.001,2.398,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.431,19,1,1,1,-0.268,-28.737,-0.08980,179.210,291.263,188.084,321.861,0.001,2.430,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.467,20,1,1,1,-0.268,-28.725,-0.08977,179.209,291.275,188.070,321.858,0.001,2.466,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.499,21,1,1,1,-0.268,-28.738,-0.08981,179.210,291.262,188.071,321.835,0.001,2.498,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.535,22,1,1,1,-0.268,-28.757,-0.08987,179.208,291.243,188.076,321.889,2.517,0.018,STOPPED,,EVT:READY,,,,,,EVT:READY
2.567,23,1,1,1,-0.268,-28.732,-0.08979,179.212,291.268,188.032,321.851,2.517,0.050,STOPPED,,EVT:READY,,,,,,EVT:READY
2.599,24,1,1,1,-0.268,-28.772,-0.08991,179.206,291.228,188.038,321.853,2.517,0.082,STOPPED,,EVT:READY,,,,,,EVT:READY
2.635,25,1,1,1,-0.268,-28.763,-0.08988,179.202,291.237,188.049,321.913,2.517,0.118,STOPPED,,EVT:READY,,,,,,EVT:READY
2.668,26,1,1,1,-0.268,-28.778,-0.08993,179.204,291.222,188.020,321.851,2.517,0.151,STOPPED,,EVT:READY,,,,,,EVT:READY
2.703,27,1,1,1,-0.268,-28.739,-0.08981,179.207,291.261,188.045,321.864,2.517,0.186,STOPPED,,EVT:READY,,,,,,EVT:READY
2.737,28,1,1,1,-0.268,-28.749,-0.08984,179.206,291.251,188.063,321.859,2.517,0.220,STOPPED,,EVT:READY,,,,,,EVT:READY
2.767,29,1,1,1,-0.268,-28.763,-0.08989,179.203,291.237,188.073,321.869,2.517,0.250,STOPPED,,EVT:READY,,,,,,EVT:READY
2.803,30,1,1,1,-0.268,-28.739,-0.08981,179.211,291.261,188.026,321.867,2.517,0.286,STOPPED,,EVT:READY,,,,,,EVT:READY
2.836,31,1,1,1,-0.268,-28.772,-0.08991,179.204,291.228,188.054,321.838,2.517,0.319,STOPPED,,EVT:READY,,,,,,EVT:READY
2.867,32,1,1,1,-0.268,-28.779,-0.08994,179.207,291.221,188.052,321.876,2.517,0.350,STOPPED,,EVT:READY,,,,,,EVT:READY
2.903,33,1,1,1,-0.268,-28.756,-0.08986,179.206,291.244,188.051,321.875,2.517,0.386,STOPPED,,EVT:READY,,,,,,EVT:READY
2.935,34,1,1,1,-0.268,-28.728,-0.08978,179.209,291.272,188.064,321.890,2.517,0.418,STOPPED,,EVT:READY,,,,,,EVT:READY
2.971,35,1,1,1,-0.268,-28.733,-0.08979,179.212,291.267,188.050,321.835,2.517,0.454,STOPPED,,EVT:READY,,,,,,EVT:READY
3.003,36,1,1,1,-0.268,-28.771,-0.08991,179.205,291.229,188.065,321.881,2.517,0.486,STOPPED,,EVT:READY,,,,,,EVT:READY
3.035,37,1,1,1,-0.268,-28.767,-0.08990,179.200,291.233,188.067,321.870,2.517,0.518,STOPPED,,EVT:READY,,,,,,EVT:READY
3.071,38,1,1,1,-0.268,-28.742,-0.08982,179.208,291.258,188.065,321.869,2.517,0.554,STOPPED,,EVT:READY,,,,,,EVT:READY
3.103,39,1,1,1,-0.268,-28.755,-0.08986,179.203,291.245,188.043,321.868,2.517,0.586,STOPPED,,EVT:READY,,,,,,EVT:READY
3.139,40,1,1,1,-0.268,-28.737,-0.08980,179.208,291.263,188.079,321.886,2.517,0.622,STOPPED,,EVT:READY,,,,,,EVT:READY
3.171,41,1,1,1,-0.268,-28.750,-0.08984,179.208,291.250,188.025,321.844,2.517,0.654,STOPPED,,EVT:READY,,,,,,EVT:READY
3.203,42,1,1,1,-0.268,-28.749,-0.08984,179.209,291.251,188.052,321.853,2.517,0.686,STOPPED,,EVT:READY,,,,,,EVT:READY
3.239,43,1,1,1,-0.268,-28.754,-0.08986,179.204,291.246,188.039,321.866,2.517,0.722,STOPPED,,EVT:READY,,,,,,EVT:READY
3.271,44,1,1,1,-0.268,-28.724,-0.08976,179.211,291.276,188.028,321.854,2.517,0.754,STOPPED,,EVT:READY,,,,,,EVT:READY
3.307,45,1,1,1,-0.268,-28.742,-0.08982,179.207,291.258,188.049,321.852,2.517,0.790,STOPPED,,EVT:READY,,,,,,EVT:READY
3.339,46,1,1,1,-0.268,-28.745,-0.08983,179.209,291.255,188.039,321.921,2.517,0.822,STOPPED,,EVT:READY,,,,,,EVT:READY
3.371,47,1,1,1,-0.268,-28.753,-0.08985,179.205,291.247,188.034,321.855,2.517,0.854,STOPPED,,EVT:READY,,,,,,EVT:READY
3.407,48,1,1,1,-0.268,-28.723,-0.08976,179.213,291.277,188.060,321.897,2.517,0.890,STOPPED,,EVT:READY,,,,,,EVT:READY
3.439,49,1,1,1,-0.268,-28.759,-0.08987,179.211,291.241,188.049,321.881,2.517,0.922,STOPPED,,EVT:READY,,,,,,EVT:READY
3.475,50,1,1,1,-0.268,-28.756,-0.08986,179.201,291.244,188.017,321.866,2.517,0.958,STOPPED,,EVT:READY,,,,,,EVT:READY
3.507,51,1,1,1,-0.268,-28.749,-0.08984,179.210,291.251,188.024,321.882,2.517,0.990,STOPPED,,EVT:READY,,,,,,EVT:READY
3.539,52,1,1,1,-0.268,-28.748,-0.08984,179.208,291.252,188.054,321.879,2.517,1.022,STOPPED,,EVT:READY,,,,,,EVT:READY
3.575,53,1,1,1,-0.268,-28.778,-0.08993,179.200,291.222,188.003,321.853,2.517,1.058,STOPPED,,EVT:READY,,,,,,EVT:READY
3.607,54,1,1,1,-0.268,-28.750,-0.08984,179.205,291.250,188.048,321.858,2.517,1.090,STOPPED,,EVT:READY,,,,,,EVT:READY
3.643,55,1,1,1,-0.268,-28.747,-0.08984,179.210,291.253,188.026,321.868,2.517,1.126,STOPPED,,EVT:READY,,,,,,EVT:READY
