time_s,frame_index,tag_detected,tag_count,tag_id,lateral_offset_cm,lateral_offset_px,lateral_offset_norm,yaw_error_deg,raw_yaw_image_deg,center_x_px,center_y_px,tag_width_px,mega_time_s,mega_age_s,motion_state,last_command,mega_event,mega_heading_error_deg,mega_control_error_deg,mega_correction_rpm,mega_left_rpm,mega_right_rpm,mega_last_line
1.796,1,1,1,0,0.006,0.597,0.00186,-179.957,0.043,320.597,201.752,207.012,0.001,1.795,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.931,2,1,1,0,0.006,0.616,0.00192,-179.946,0.054,320.616,201.747,207.019,0.001,1.930,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.944,3,1,1,0,0.006,0.587,0.00184,-179.958,0.042,320.587,201.749,207.023,0.001,1.943,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.953,4,1,1,0,0.005,0.557,0.00174,-179.965,0.035,320.557,201.752,207.009,0.001,1.952,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.965,5,1,1,0,0.006,0.601,0.00188,-179.949,0.051,320.601,201.752,207.013,0.001,1.965,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.975,6,1,1,0,0.006,0.599,0.00187,-179.959,0.041,320.599,201.764,207.023,0.001,1.975,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
1.996,7,1,1,0,0.006,0.585,0.00183,-179.958,0.042,320.585,201.756,207.014,0.001,1.995,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.031,8,1,1,0,0.005,0.566,0.00177,-179.947,0.053,320.566,201.749,207.012,0.001,2.031,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.063,9,1,1,0,0.006,0.594,0.00186,-179.959,0.041,320.594,201.740,207.009,0.001,2.063,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.095,10,1,1,0,0.006,0.618,0.00193,-179.953,0.047,320.618,201.746,207.018,0.001,2.095,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.132,11,1,1,0,0.006,0.604,0.00189,-179.949,0.051,320.604,201.728,207.018,0.001,2.131,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.164,12,1,1,0,0.006,0.602,0.00188,-179.955,0.045,320.602,201.748,207.013,0.001,2.163,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.199,13,1,1,0,0.006,0.580,0.00181,-179.961,0.039,320.580,201.739,207.013,0.001,2.199,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
2.232,14,1,1,0,0.006,0.601,0.00188,-179.949,0.051,320.601,201.751,207.010,0.001,2.231,STOPPED,,EVT:CALIBRATING,,,,,,EVT:CALIBRATING
